,GalactoseFeature1,GalactoseFeature2,GalactoseFeature3,GalactoseFeature4,GalactoseFeature5,GalactoseFeature6,GalactoseFeature7,GalactoseFeature8,GalactoseFeature9,GalactoseFeature10,GalactoseFeature11,GalactoseFeature12,GalactoseFeature13,GalactoseFeature14,GalactoseFeature15,GalactoseFeature16,GalactoseFeature17,GalactoseFeature18,GalactoseFeature19,GalactoseFeature20
YGL070C,3,2,1,2,1,2,2,3,2,2,2,1,3,2,1,2,3,2,1,3
YGL076C,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,3,2,2,2,1
YGL090W,2,2,1,2,1,3,1,3,3,2,2,1,3,2,2,1,2,2,2,3
YGL103W,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YGL123W,3,2,3,2,2,3,3,2,2,3,1,2,1,2,1,2,1,2,2,1
YGL135W,3,2,3,2,2,3,2,2,2,3,1,3,1,2,1,2,1,2,2,1
YGL147C,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YGL189C,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,2,2,3,2,1
YGL243W,2,3,1,3,1,2,3,2,2,2,3,1,2,1,1,2,2,2,2,3
YGL244W,2,3,2,3,1,2,1,2,2,3,2,2,3,1,1,2,1,2,2,3
YGL253W,2,1,2,1,3,1,2,3,3,2,2,3,2,2,3,2,1,2,2,1
YGR005C,2,2,2,3,1,3,2,3,2,3,2,2,2,1,1,1,1,2,2,3
YGR013W,2,3,1,2,1,3,2,2,2,3,1,2,3,2,1,2,1,2,2,3
YGR027C,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YGR034W,3,2,2,1,2,3,3,2,2,3,1,2,1,2,1,2,2,3,2,1
YGR047C,2,3,1,3,1,1,2,2,2,1,3,2,1,2,2,3,2,2,2,3
YGR056W,2,3,1,2,1,2,2,2,1,1,3,2,2,2,2,3,3,2,1,3
YGR074W,2,2,3,3,1,1,2,3,2,2,3,1,2,2,1,2,2,2,1,3
YGR075C,2,2,1,3,1,1,3,2,2,1,2,1,2,2,2,3,3,2,2,3
YGR091W,2,2,1,3,1,2,2,3,2,1,2,2,3,2,1,1,3,2,2,3
YGR104C,2,2,2,2,1,1,3,2,1,2,3,1,3,2,2,1,3,2,2,3
YGR118W,3,2,1,2,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YGR148C,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YGR186W,2,3,3,3,1,1,2,2,2,1,3,2,2,2,1,2,1,2,2,3
YGR192C,2,1,2,1,3,2,2,1,3,2,1,2,2,2,3,3,2,2,3,1
YGR200C,2,3,1,3,1,2,2,2,2,1,1,3,2,2,1,3,2,2,2,3
YGR240C,3,1,3,2,2,1,2,1,2,2,2,2,1,2,2,3,3,2,3,1
YGR254W,2,1,3,1,3,2,3,2,3,2,1,2,2,2,3,2,1,2,2,1
YGR289C,1,1,3,2,3,1,2,2,3,1,2,3,3,2,2,2,1,2,2,2
YHL001W,3,2,2,2,1,3,3,2,2,3,1,2,1,2,1,3,2,2,2,1
YHL009C,2,2,1,2,1,2,3,2,2,2,2,1,3,2,1,3,3,2,1,3
YHL033C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YHR006W,2,3,3,1,1,3,2,2,2,1,2,2,3,1,2,2,2,2,1,3
YHR010W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YHR021C,3,2,2,2,2,2,3,2,2,3,1,3,1,2,1,2,1,3,2,1
YHR058C,2,3,1,3,1,2,2,2,2,1,3,2,1,2,1,3,2,2,2,3
YHR092C,1,2,2,2,3,1,1,3,3,1,3,2,3,2,2,2,2,2,2,1
YHR094C,1,2,2,2,3,1,1,2,3,1,2,2,3,2,2,2,2,3,3,1
YHR096C,1,1,2,2,3,1,1,2,3,1,2,2,3,2,3,2,2,2,2,3
YHR141C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YHR174W,2,1,3,1,3,2,2,2,3,3,1,2,2,2,3,2,1,2,2,1
YHR178W,2,2,1,3,1,1,1,3,3,2,2,1,2,2,2,2,3,2,2,3
YHR203C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YIL018W,3,2,3,2,2,3,2,1,2,3,1,3,1,2,2,2,1,2,2,1
YIL021W,3,3,2,2,1,1,2,2,1,1,2,2,3,2,1,2,3,2,2,3
YIL052C,3,2,2,2,1,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YIL069C,3,2,2,2,2,3,3,2,1,3,1,2,1,2,1,2,2,3,2,1
YIL133C,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,2,2,3,2,1
YIL170W,1,1,2,3,3,2,1,3,3,1,2,2,3,2,2,2,1,2,2,2
YIR015W,1,1,1,2,2,3,2,1,3,2,3,1,2,2,3,2,2,2,2,3
YIR018W,2,3,1,3,1,1,1,2,2,2,2,1,3,2,2,2,3,2,2,3
YJL052W,2,1,1,1,3,2,2,2,3,3,3,2,2,2,3,2,2,1,2,1
YJL115W,2,3,2,3,1,3,2,2,3,2,2,1,1,2,1,2,1,2,3,2
YJL127C,2,3,2,3,1,3,2,2,1,1,1,2,3,2,2,2,1,2,2,3
YJL136C,3,2,2,1,2,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YJL140W,2,3,2,3,1,2,1,3,3,1,2,1,2,2,2,2,1,2,2,3
YJL176C,2,3,1,3,1,2,2,2,1,1,1,2,2,2,2,3,2,3,2,3
YJL177W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YJL189W,3,2,2,2,1,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YJL190C,3,2,2,2,2,3,3,1,2,3,1,2,1,2,1,2,2,3,2,1
YJL203W,2,2,3,3,1,2,1,2,1,3,2,2,2,2,2,3,1,2,1,3
YJL214W,1,2,2,2,3,1,1,3,3,1,2,2,3,2,2,2,1,2,3,2
YJL219W,1,2,2,3,3,2,1,3,3,1,2,2,2,2,2,2,1,2,3,1
YJR009C,2,1,2,1,3,1,2,1,3,3,2,2,2,2,3,2,2,2,3,1
YJR022W,2,2,2,3,1,2,1,2,2,1,2,1,3,3,1,3,2,2,2,3
YJR050W,2,3,3,2,1,1,1,3,2,1,2,2,1,2,3,2,2,2,2,3
YJR052W,3,3,2,2,1,3,2,1,1,1,2,2,2,2,2,3,1,2,2,3
YJR093C,1,2,3,3,1,2,1,2,1,1,2,2,3,2,2,2,3,2,2,3
YJR123W,3,2,2,2,2,3,3,1,2,3,1,2,1,2,1,3,2,2,2,1
YJR145C,3,2,2,2,2,3,3,2,1,3,1,2,1,2,1,3,2,2,2,1
YKL006W,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YKL011C,2,2,1,3,1,1,2,2,2,1,3,2,3,2,2,3,2,2,1,3
YKL012W,2,3,3,2,1,3,2,3,1,1,2,2,2,2,2,2,1,2,1,3
YKL015W,3,3,2,2,2,2,2,2,1,1,3,3,1,2,1,2,2,2,1,3
YKL060C,2,1,2,2,3,1,3,2,3,3,2,1,2,2,3,2,2,1,2,1
YKL113C,2,3,2,3,1,2,2,1,2,1,1,2,2,2,1,3,2,3,2,3
YKL125W,1,3,2,2,1,2,1,3,1,3,2,1,3,2,2,2,2,2,2,3
YKL149C,1,3,2,2,1,2,2,1,3,1,3,2,1,2,2,3,2,2,2,3
YKL152C,2,3,1,3,1,2,2,2,1,2,1,3,2,2,1,2,3,2,3,2
YKR008W,2,3,1,2,1,1,2,2,1,1,2,2,3,2,2,3,3,2,2,3
YKR025W,2,3,1,2,1,3,1,2,1,1,3,2,2,2,2,2,2,2,3,3
YKR057W,3,2,2,2,1,3,2,2,2,3,1,3,2,2,1,2,1,3,2,1
YLL036C,2,3,2,3,1,2,2,2,1,1,3,1,3,2,1,2,2,2,2,3
YLR061W,3,2,2,1,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YLR116W,2,2,3,1,2,2,2,1,1,2,3,1,3,2,3,2,2,1,2,3
YLR117C,2,3,3,3,1,2,1,2,1,2,3,2,2,2,2,2,1,2,1,3
YLR185W,3,2,2,1,2,3,2,2,1,3,1,3,2,2,1,2,2,3,2,1
YLR264W,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YLR298C,1,3,1,2,1,2,1,3,2,1,2,3,2,2,2,3,2,2,2,3
YLR316C,2,1,1,2,2,2,2,3,2,1,3,3,1,2,1,2,2,3,3,2
YLR321C,2,3,1,2,1,1,2,2,1,1,3,2,2,2,2,3,3,2,2,3
YLR325C,3,2,2,2,1,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YLR333C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YLR344W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YML026C,3,1,2,2,2,3,3,1,2,3,3,2,1,2,1,2,2,2,2,1
YML114C,1,3,2,2,1,2,1,2,1,1,3,2,3,2,2,2,3,2,2,3
YMR005W,3,3,1,3,1,2,2,2,1,2,3,2,2,2,1,2,2,2,1,3
YMR011W,1,2,2,2,3,1,1,3,3,1,2,3,2,2,2,2,2,2,3,1
YMR106C,2,2,1,2,1,3,2,2,3,2,3,1,2,2,3,1,2,2,1,3
YMR125W,2,3,2,3,2,1,2,1,1,3,2,2,2,1,1,3,3,2,2,2
YMR137C,1,3,2,2,1,2,2,3,2,1,3,1,3,1,2,2,2,2,2,3
YMR142C,3,1,2,2,1,3,3,1,2,3,1,2,2,2,1,2,2,2,3,2
YMR143W,3,1,2,2,2,3,3,1,2,3,2,2,1,2,1,2,2,3,2,1
YMR182C,1,1,2,2,2,3,2,1,2,1,3,1,2,2,2,3,3,2,2,3
YMR193W,3,2,2,1,2,3,2,2,1,3,1,3,1,2,2,2,2,3,2,1
YMR205C,2,1,2,2,2,1,2,2,3,3,3,2,1,2,2,2,1,3,3,1
YMR213W,1,3,3,1,1,2,2,2,2,1,3,2,2,2,2,3,1,2,2,3
YMR230W,3,1,2,2,2,3,3,1,2,3,2,2,1,2,1,2,2,3,2,1
YMR242C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YMR270C,2,3,2,3,1,2,2,2,1,1,3,2,2,1,2,2,3,2,1,3
YMR277W,1,3,2,2,1,2,2,2,1,2,3,1,2,1,2,3,3,2,2,3
YNL067W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YNL069C,3,2,3,2,2,3,2,1,2,3,1,3,1,2,1,2,2,2,2,1
YNL096C,3,2,2,2,2,3,3,2,1,3,1,2,1,2,1,2,2,3,2,1
YNL162W,3,2,2,2,2,3,3,2,1,3,1,2,1,2,1,2,2,3,2,1
YNL178W,3,2,2,2,2,3,3,1,2,3,1,3,1,2,1,2,2,2,2,1
YNL230C,3,1,3,2,1,2,2,1,1,3,3,1,2,2,2,2,2,2,2,3
YNL301C,3,2,3,2,2,3,3,2,2,3,1,2,1,2,1,2,1,2,2,1
YNL314W,2,2,2,3,1,1,1,1,2,3,2,1,3,2,2,2,3,2,2,3
YOL120C,3,1,2,2,2,3,3,1,2,3,2,2,1,2,1,2,2,3,2,1
YOL135C,2,2,2,2,1,2,2,2,2,1,3,1,3,2,3,1,3,1,2,3
YOR096W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YOR148C,2,3,2,3,1,2,1,3,3,1,2,2,1,2,2,1,2,2,2,3
YOR167C,3,2,2,2,2,3,2,2,2,3,1,3,1,2,1,2,1,3,2,1
YOR182C,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,2,2,3,2,1
YOR194C,2,3,2,3,1,2,1,3,1,2,1,3,1,2,2,2,1,2,2,3
YOR234C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YOR293W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YOR312C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YOR319W,2,3,1,3,1,2,2,2,2,1,3,2,1,2,1,2,3,2,2,3
YOR347C,2,1,2,3,2,1,1,2,3,2,1,2,2,3,3,2,1,2,3,2
YOR369C,3,2,2,2,2,2,3,2,2,3,1,3,1,2,1,2,1,3,2,1
YPL075W,3,1,2,2,1,2,2,2,2,2,3,1,2,2,1,3,3,2,3,1
YPL079W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YPL081W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YPL090C,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YPL143W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YPL198W,3,2,2,2,1,3,3,1,2,3,2,2,1,2,1,2,2,2,3,1
YPL213W,2,3,1,2,1,3,2,3,2,2,3,1,2,2,1,2,2,2,1,3
YPL220W,3,2,3,2,2,3,2,2,2,3,1,3,1,2,1,2,1,2,2,1
YPR043W,3,2,2,1,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YPR101W,2,3,1,3,1,2,2,2,2,1,3,1,3,2,2,1,2,2,2,3
YPR107C,2,3,1,2,1,3,2,3,2,1,3,2,2,2,2,1,2,2,1,3
YPR132W,3,2,1,2,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YPR168W,1,3,2,3,1,2,2,2,2,2,2,1,3,2,1,3,2,2,1,3
YPR182W,1,3,2,2,2,1,1,2,2,3,3,2,3,1,2,1,2,2,2,3
YPR186C,2,2,3,1,2,3,2,1,2,1,2,1,3,2,2,3,2,2,1,3
